permit_number,address,type,value
HP25111000,"5910 Richmond Ave, Houston, TX",NEW CONSTRUCTION,"$161,371"
HP25111001,"5292 Richmond Ave, Houston, TX",REPAIR,"$185,709"
HP25111002,"778 Westheimer Rd, Houston, TX",NEW CONSTRUCTION,"$213,569"
HP25111003,"3892 Richmond Ave, Houston, TX",NEW CONSTRUCTION,"$119,258"
HP25111004,"7449 Kirby Dr, Houston, TX",REMODEL,"$67,268"
HP25111005,"447 Memorial Dr, Houston, TX",ADDITION,"$93,834"
HP25111006,"6578 Richmond Ave, Houston, TX",REPAIR,"$65,444"
HP25111007,"3385 Kirby Dr, Houston, TX",REPAIR,"$124,877"
HP25111008,"7241 Main St, Houston, TX",ADDITION,"$190,901"
HP25111009,"9527 Westheimer Rd, Houston, TX",NEW CONSTRUCTION,"$202,081"
HP25111010,"3167 Memorial Dr, Houston, TX",REPAIR,"$202,591"
HP25111011,"3885 Memorial Dr, Houston, TX",ALTERATION,"$69,176"
HP25111012,"4651 Memorial Dr, Houston, TX",ALTERATION,"$138,125"
HP25111013,"5105 Kirby Dr, Houston, TX",NEW CONSTRUCTION,"$112,515"
HP25111014,"2156 Westheimer Rd, Houston, TX",NEW CONSTRUCTION,"$215,508"
HP25111015,"1209 Westheimer Rd, Houston, TX",ADDITION,"$56,962"
HP25111016,"9297 Kirby Dr, Houston, TX",REMODEL,"$86,333"
HP25111017,"9195 Main St, Houston, TX",REMODEL,"$121,082"
HP25111018,"5416 Richmond Ave, Houston, TX",ALTERATION,"$156,694"
HP25111019,"8785 Kirby Dr, Houston, TX",REPAIR,"$182,488"
HP25111020,"4485 Main St, Houston, TX",ADDITION,"$232,725"
HP25111021,"7833 Main St, Houston, TX",ADDITION,"$79,144"
HP25111022,"4708 Main St, Houston, TX",NEW CONSTRUCTION,"$153,542"
HP25111023,"3381 Westheimer Rd, Houston, TX",ALTERATION,"$79,193"
HP25111024,"1602 Main St, Houston, TX",ALTERATION,"$252,678"
HP25111025,"6214 Memorial Dr, Houston, TX",ALTERATION,"$279,621"
HP25111026,"1701 Main St, Houston, TX",ALTERATION,"$213,680"
HP25111027,"8353 Memorial Dr, Houston, TX",REMODEL,"$233,911"
HP25111028,"2290 Westheimer Rd, Houston, TX",REMODEL,"$176,918"
HP25111029,"163 Main St, Houston, TX",REMODEL,"$251,261"
HP25111030,"7517 Memorial Dr, Houston, TX",ADDITION,"$143,136"
HP25111031,"659 Kirby Dr, Houston, TX",REMODEL,"$191,650"
HP25111032,"3488 Main St, Houston, TX",ALTERATION,"$203,849"
HP25111033,"4818 Kirby Dr, Houston, TX",ADDITION,"$207,642"
HP25111034,"2645 Memorial Dr, Houston, TX",ADDITION,"$263,816"
HP25111035,"8132 Richmond Ave, Houston, TX",ALTERATION,"$120,575"
HP25111036,"9065 Kirby Dr, Houston, TX",NEW CONSTRUCTION,"$146,174"
HP25111037,"5061 Westheimer Rd, Houston, TX",ALTERATION,"$268,321"
HP25111038,"6842 Richmond Ave, Houston, TX",NEW CONSTRUCTION,"$262,665"
HP25111039,"5564 Richmond Ave, Houston, TX",REMODEL,"$217,763"
HP25111040,"1302 Westheimer Rd, Houston, TX",NEW CONSTRUCTION,"$114,589"
HP25111041,"518 Kirby Dr, Houston, TX",REPAIR,"$118,574"
HP25111042,"5671 Kirby Dr, Houston, TX",NEW CONSTRUCTION,"$92,874"
HP25111043,"5162 Main St, Houston, TX",REPAIR,"$108,170"
HP25111044,"2155 Richmond Ave, Houston, TX",NEW CONSTRUCTION,"$226,827"
HP25111045,"9476 Main St, Houston, TX",REMODEL,"$173,825"
HP25111046,"4293 Westheimer Rd, Houston, TX",ADDITION,"$139,021"
HP25111047,"5207 Richmond Ave, Houston, TX",REMODEL,"$189,680"
HP25111048,"8487 Main St, Houston, TX",NEW CONSTRUCTION,"$85,096"
HP25111049,"7170 Kirby Dr, Houston, TX",NEW CONSTRUCTION,"$209,623"
